date,stock,a1,a2,a3,a4,a5,a6,a1_1,a2_1,a3_1,a4_1,a5_1,a6_1,a1_2,a2_2,a3_2,a4_2,a5_2,a6_2,a1_3,a2_3,a3_3,a4_3,a5_3,a6_3,a1_4,a2_4,a3_4,a4_4,a5_4,a6_4,a1_5,a2_5,a3_5,a4_5,a5_5,a6_5,a1_6,a2_6,a3_6,a4_6,a5_6,a6_6,a1_7,a2_7,a3_7,a4_7,a5_7,a6_7,a1_8,a2_8,a3_8,a4_8,a5_8,a6_8,a1_9,a2_9,a3_9,a4_9,a5_9,a6_9,a1_10,a2_10,a3_10,a4_10,a5_10,a6_10,a1_11,a2_11,a3_11,a4_11,a5_11,a6_11,a1_12,a2_12,a3_12,a4_12,a5_12,a6_12,a1_13,a2_13,a3_13,a4_13,a5_13,a6_13,a1_14,a2_14,a3_14,a4_14,a5_14,a6_14,a1_15,a2_15,a3_15,a4_15,a5_15,a6_15,a1_16,a2_16,a3_16,a4_16,a5_16,a6_16,a1_17,a2_17,a3_17,a4_17,a5_17,a6_17,a1_18,a2_18,a3_18,a4_18,a5_18,a6_18,a1_19,a2_19,a3_19,a4_19,a5_19,a6_19,a1_20,a2_20,a3_20,a4_20,a5_20,a6_20,a1_21,a2_21,a3_21,a4_21,a5_21,a6_21,a1_22,a2_22,a3_22,a4_22,a5_22,a6_22,a1_23,a2_23,a3_23,a4_23,a5_23,a6_23,a1_24,a2_24,a3_24,a4_24,a5_24,a6_24,a1_25,a2_25,a3_25,a4_25,a5_25,a6_25,a1_26,a2_26,a3_26,a4_26,a5_26,a6_26,a1_27,a2_27,a3_27,a4_27,a5_27,a6_27,a1_28,a2_28,a3_28,a4_28,a5_28,a6_28,a1_29,a2_29,a3_29,a4_29,a5_29,a6_29,a1_30,a2_30,a3_30,a4_30,a5_30,a6_30,a1_31,a2_31,a3_31,a4_31,a5_31,a6_31,a1_32,a2_32,a3_32,a4_32,a5_32,a6_32,a1_33,a2_33,a3_33,a4_33,a5_33,a6_33,a1_34,a2_34,a3_34,a4_34,a5_34,a6_34,a1_35,a2_35,a3_35,a4_35,a5_35,a6_35,a1_36,a2_36,a3_36,a4_36,a5_36,a6_36,a1_37,a2_37,a3_37,a4_37,a5_37,a6_37,a1_38,a2_38,a3_38,a4_38,a5_38,a6_38,next5
2015/11/04 00:00:00.000,,0.6,-0.4,-0.1,0,0.5,0.8,0.5,-0.5,-0.4,-0.3,-0.1,0.2,0.2,0.2,1,1.7,2.1,2.6,0.6,1,2.4,3.2,4.1,5.1,0.4,0.7,1.5,2,2.5,3.2,0.7,0.4,0.4,0.5,0.7,0.7,-0.7,0.1,1.5,2.7,3.6,4.8,3.5,2.4,2.4,2.4,2.9,3.6,2.3,1.1,0.8,0.7,0.9,1.6,-0.2,-1.3,-1.8,-1.9,-1.8,-1.7,2.9,1.2,0.8,1,1,1.5,1.2,1.2,1.7,2.3,3,4,1.7,0.6,0.4,0.5,0.6,1.3,0.7,0.6,0.7,0.8,0.9,1.3,2.7,2.4,2.4,2.5,2.7,3.2,1.6,2,1.5,1.4,1.4,0.6,0.3,-0.4,-0.7,-0.8,-0.9,-0.9,0.9,1.2,1.3,1.6,1.8,2.1,0.2,0.7,1.5,1.9,2.4,3,-0,0.2,0.1,0.6,1.3,1.9,-0,0.9,2.1,2.8,3.4,3.7,0.6,1.1,2,2.7,3.4,4,2.6,2.5,2.5,2.6,2.7,2.7,1.8,2.2,3,3.6,4,4.4,0.2,0.3,1.1,1.5,1.8,2.1,-0.8,-1.4,-0.6,0.1,0.8,1.8,-1.2,-1.2,-1.9,-2.4,-2.8,-3,0.6,0.6,0.7,0.9,1.1,1.1,0.5,0.5,1.3,1.9,2.3,2.3,-0.2,0.2,0.1,-0,0,0.2,0.6,0.1,0.2,0.5,0.7,0.7,-1,-1.4,-2,-2.4,-2.8,-3.2,-0.6,-0.6,-1.2,-1.5,-1.8,-1.9,-0.7,-0.7,-0.6,-0.5,-0.6,-0.7,-0.1,-0.1,-0.4,-0.7,-1,-0.9,0.4,0.7,0.8,0.9,1.1,1.3,0.1,0,-0.6,-1,-1.2,-1.2,0.3,0.7,1.4,1.9,2.3,2.5,-2.2,-2.1,-2.2,-2.5,-2.4,-1.9,-0.7
2015/11/03 00:00:00.000,,0.2,-0.7,-0.3,0,0.4,0.7,0.3,-0.7,-0.5,-0.3,-0.2,0.1,-1.2,-1.1,0,0.7,0.8,1.2,1,1.2,3,3.9,4.6,5.4,1,1.2,2.1,2.7,3.1,3.6,0.2,-0.1,0,0.2,0.2,0.3,0.8,1.2,3.2,4.4,5.1,6.1,-1.4,-2.1,-2.1,-1.7,-1.1,-0.7,-0.2,-1.2,-1.5,-1.4,-1.1,-0.5,-0.4,-1.3,-1.9,-1.8,-1.7,-1.6,1.5,-0.6,-1,-0.8,-0.8,-0.2,0.5,0.5,1.1,1.8,2.5,3.3,0.3,-0.8,-1,-0.9,-0.7,-0.1,0.8,0.5,0.5,0.7,0.8,1.1,1.6,0.8,0.9,1,1.1,1.6,5,3.3,2.4,2.3,1.9,1.4,0.5,-0,-0.4,-0.5,-0.6,-0.6,1.7,1.4,1.5,1.8,1.9,2.2,0.9,1.3,2.2,2.7,3.1,3.6,0.7,0.8,0.9,1.4,2,2.5,0.2,1.1,2.6,3.3,3.7,3.9,0.7,1,2.2,3,3.4,3.9,1.5,1,1,1.1,1.1,1.1,0.9,1.1,2.1,2.7,2.9,3.2,-0.1,0.2,1.1,1.6,1.8,2,0.7,-0.1,1.1,1.9,2.5,3.3,-0.3,-0.3,-1.2,-1.8,-2.1,-2.2,0.1,0.1,0.3,0.6,0.6,0.6,0.2,0.2,1.3,1.9,2.1,2.1,0.3,0.5,0.3,0.2,0.3,0.4,-0.5,-0.8,-0.5,-0.2,-0.1,-0,-0.6,-0.8,-1.6,-2,-2.4,-2.6,-0.2,-0.2,-0.9,-1.2,-1.5,-1.6,-0.1,-0.1,0.1,0.1,-0,-0.1,1.1,0.7,0.2,-0.2,-0.4,-0.3,0.4,0.6,0.7,0.8,0.9,1.1,-0.1,-0.1,-1,-1.3,-1.5,-1.4,0.5,0.7,1.6,2.1,2.4,2.5,-0.5,-0.5,-0.7,-0.9,-0.7,-0.3,-0.2
2015/11/02 00:00:00.000,,-2.7,-2.9,-2.3,-1.7,-1.4,-1.1,-1.9,-2.5,-2,-1.7,-1.5,-1.3,-1.5,-1.2,0,0.9,1,1.3,0.8,1.2,2.9,4.1,4.7,5.3,0.5,0.9,1.8,2.5,2.8,3.3,-0.6,-0.7,-0.4,-0.1,-0.2,-0,1.1,1.4,3.5,5.1,5.7,6.4,-1.7,-2.3,-2,-1.4,-0.5,-0.5,-1.9,-2.6,-2.6,-2.3,-2,-1.5,-1.1,-2,-2.3,-2,-1.9,-1.8,-1,-2.8,-2.7,-2.3,-2.3,-1.8,-0.2,-0.1,0.5,1.5,2.2,2.8,-1.3,-2.2,-2,-1.7,-1.5,-0.9,-0,-0.2,-0.1,0.1,0.2,0.5,0.2,-0.4,-0.3,-0.1,0.1,0.4,-0.5,-1.7,-2.3,-2.4,-3,-3.2,-0.8,-1.1,-1.1,-1.3,-1.4,-1.3,-0.2,-0.5,-0.3,-0,0.1,0.4,0.8,1.2,2.1,2.8,3.1,3.5,0.3,0.1,0.5,1.4,1.8,2.2,1,2,3.3,4.2,4.4,4.6,0.5,0.5,2,3,3.3,3.7,0.1,-0.3,-0.2,-0,-0.1,-0,0.2,0.3,1.4,2.1,2.2,2.5,-0.1,0.2,1.3,1.8,2,2.1,1.1,0.8,2,3,3.6,4.2,0.4,0.1,-0.9,-1.7,-1.9,-1.9,-0.2,-0.1,0.2,0.5,0.5,0.5,-0.4,-0,1,1.8,1.9,1.8,0.5,0.5,0.3,0.2,0.2,0.4,-0.3,-0.6,-0.2,0.2,0.3,0.3,-0.1,-0.4,-1.2,-1.8,-2.1,-2.3,0.3,-0,-0.7,-1.1,-1.3,-1.4,0,0.1,0.1,0.1,0,-0.1,0.5,-0.3,-0.7,-1.1,-1.3,-1.2,0.4,0.4,0.5,0.7,0.8,0.9,0.3,-0.1,-0.9,-1.3,-1.4,-1.3,0.1,0.5,1.3,2,2.1,2.2,0.4,-0.1,-0.2,-0.4,-0.2,0.3,1.7
2015/10/30 00:00:00.000,,-1,-0.2,0,0.7,1.1,1.5,-1.4,-0.9,-0.7,-0.4,0,0.5,1,2.1,2.8,3.3,3.7,4.3,-0.1,1.6,2.4,3.3,4.3,5.1,-0.1,0.7,1.3,1.8,2.4,3.2,-0.7,-0.5,-0.3,-0.1,-0.1,0.5,0.6,2.4,3.7,4.6,5.7,6.7,-0.7,-0.3,-0.2,0.5,1.3,1.8,-1.6,-1.6,-1.6,-1.2,-0.3,0.4,-1.7,-2.1,-2.1,-1.7,-1.5,-1.2,-3.4,-3.3,-2.9,-2.8,-2.1,-1.1,-0.2,0.4,1.1,1.9,3,3.5,-1.5,-1.4,-1.2,-1,-0.2,0.8,-0.6,-0.5,-0.4,-0.2,0.2,0.6,-1.3,-1.1,-1,-0.8,-0.3,0.2,-1.7,-2.4,-2.6,-2.6,-3.4,-2.9,-1.9,-2.1,-2.1,-2.1,-2.1,-1.5,-0.5,-0.4,-0.2,0,0.4,0.9,0,0.9,1.3,1.8,2.4,3.1,-0.1,-0.3,0.3,1.1,1.8,2.7,1.4,2.7,3.4,3.9,4.1,4.6,0.4,1.5,2.2,2.9,3.4,4.3,-0.9,-0.9,-0.8,-0.6,-0.7,0.1,0.4,1.2,2,2.3,2.6,3.2,0.3,1.3,1.7,2.1,2.2,2.6,-2.9,-1.6,-0.7,0.1,1.1,2.1,-0,-0.9,-1.5,-2,-2.1,-2,-0.2,-0,0.3,0.5,0.4,0.5,-0,1.1,1.8,2.1,2.1,2,0.7,0.4,0.2,0.3,0.4,0.6,-0.9,-0.5,-0.1,0.1,0.2,-0,-0.7,-1.3,-1.7,-2.2,-2.5,-2.6,-0.2,-0.9,-1.2,-1.5,-1.6,-1.6,-0,0.2,0.2,0.1,-0,-0.1,-0.3,-0.8,-1.2,-1.4,-1.3,-1,0.5,0.4,0.5,0.7,0.9,1.1,-0.1,-1.1,-1.4,-1.6,-1.6,-1.5,0.7,1.5,2,2.4,2.5,2.6,0.6,0.4,0.1,0.2,0.8,1.4,-0.9
2015/10/29 00:00:00.000,,-0.6,0.5,0.9,1.4,1.7,2.5,-1.3,-0.5,-0.1,0,0.4,1.2,0.3,1.8,2.6,2.7,3,4.1,0.5,2.7,3.6,4.3,5.1,6.2,0.5,1.7,2.2,2.6,3.1,4.2,-0.2,0.2,0.4,0.4,0.5,1.4,0.2,2.7,4,4.6,5.6,6.9,-0.8,-0.2,0.3,1.1,1.5,2.6,-1.1,-1,-0.6,-0.3,0.5,1.7,-1.4,-1.7,-1.4,-1.1,-0.9,-0.4,-4,-3.2,-2.8,-2.6,-1.9,-0.5,0.1,1,1.8,2.6,3.4,4.1,-1.9,-1.4,-1.1,-0.9,-0.1,1.2,-0.5,-0.2,-0,0.1,0.5,0.9,-1.5,-1,-0.8,-0.7,-0.1,0.5,-2.9,-3.4,-3.3,-3.7,-4.1,-3.3,0.1,-0.1,-0.2,-0.3,-0.2,0.6,-0.4,-0.2,0.2,0.3,0.6,1.4,0.7,1.7,2.2,2.5,3,4,-0,0.1,0.8,1.4,2,3.3,1.3,2.8,3.5,3.8,3.9,4.6,0.2,1.7,2.5,2.9,3.4,4.6,-1,-0.8,-0.6,-0.6,-0.5,0.5,0.1,1.3,2,2.1,2.4,3.2,0.7,1.9,2.3,2.5,2.6,3.2,-1.2,0.9,1.9,2.6,3.4,4.6,-0.2,-1.4,-2.1,-2.4,-2.4,-2.3,0.2,0.5,0.8,0.8,0.8,0.9,0.1,1.7,2.3,2.5,2.3,2.2,0.1,-0.3,-0.5,-0.4,-0.2,0,-0.3,0.2,0.7,0.9,0.9,0.5,-0.3,-1.1,-1.6,-2,-2.2,-2.3,-0,-1,-1.3,-1.6,-1.6,-1.5,-0.1,0.2,0.2,0,-0.1,-0.1,-1.5,-1.9,-2.2,-2.4,-2.2,-1.7,0.3,0.2,0.3,0.5,0.6,0.9,0,-1.2,-1.5,-1.6,-1.5,-1.4,0.2,1.3,1.8,2.1,2.1,2.3,-0.8,-0.9,-1.2,-1,-0.4,0.5,-1.4
2015/10/28 00:00:00.000,,0.1,1.2,2,2.2,2.5,3.5,-0.2,0.8,1.3,1.4,1.8,2.7,0.3,1.9,2.7,2.8,3.1,4.2,1,3.3,4.5,5,5.6,7,0.9,2,2.8,3,3.5,4.8,0.5,0.9,1.2,1.1,1.2,2.5,0.6,3.4,5,5.6,6.2,7.8,-1.5,-0.6,0.2,1.2,1.2,2.7,-0.8,-0.4,0.1,0.5,1.2,2.4,-1.2,-1.1,-0.6,-0.3,-0.2,0.7,-1.4,-0.3,0.5,0.5,1.2,3.1,0.2,1.1,2.2,3,3.6,4.3,-0.9,-0.1,0.4,0.6,1.3,2.9,-0.1,0.2,0.5,0.6,0.9,1.4,-0.5,0.1,0.4,0.6,1.1,1.7,-1.1,-1.2,-1.1,-1.7,-1.9,-0.6,0.4,0.4,0.3,0.1,0.4,1.5,-0.4,0.1,0.5,0.6,0.9,1.9,0.9,2,2.6,2.9,3.3,4.6,-0.2,0.7,1.8,2.2,2.7,4.4,1.7,3,3.8,3.9,3.9,4.7,0,2.1,3.1,3.4,3.7,5.3,-0.1,0.4,0.6,0.6,0.6,2,0.1,1.5,2.3,2.3,2.6,3.6,0.5,1.8,2.3,2.4,2.5,3.2,1.1,3,4.2,4.8,5.4,6.8,-1,-2.3,-3,-3.1,-3.1,-3,0.2,0.6,1,1,0.9,1,1.2,2.5,3.2,3.2,3.1,2.9,-0.4,-0.8,-0.8,-0.8,-0.6,-0.3,-0.2,0.4,1,1.1,1,0.6,-0.6,-1.5,-2.2,-2.4,-2.5,-2.7,-0.8,-1.7,-2.1,-2.2,-2.2,-2,0.2,0.2,0.1,-0,-0.1,-0.2,-1.6,-1.7,-2.1,-2.2,-2,-1.3,-0.2,-0.2,0.1,0.2,0.3,0.7,-1,-1.9,-2.2,-2.2,-2.1,-1.8,0.8,1.7,2.3,2.4,2.5,2.6,-1.6,-1.5,-1.6,-1.4,-0.9,0.3,-1.7
2015/10/27 00:00:00.000,,0.9,1.6,2.5,2.6,3,3.8,0.5,1.2,1.7,1.8,2.3,3,0.2,1.4,2.3,2.3,2.7,3.7,1.2,2.8,4.1,4.6,5.2,6.4,-0,1.1,1.9,2.2,2.7,3.8,-0.7,-0.2,0.1,0,0.3,1.4,-0,2.4,4.2,4.7,5.6,6.8,0.9,1.3,2.3,3.2,3.2,4.8,0.5,0.5,1.1,1.6,2.5,3.4,-0.6,-0.4,0.4,0.5,0.6,1.5,0.7,1.3,2,2.3,3.3,4.8,0.7,1.3,2.8,3.5,4,4.5,-0.3,0.3,0.8,1.2,2.2,3.5,0.4,0.4,0.7,0.8,1.3,1.5,0.3,0.6,1,1.2,1.8,2.2,-1,-0.7,-0.5,-1.4,-1.3,0,-1.3,-0.9,-1,-1.1,-0.7,0.3,-0.4,-0,0.5,0.7,1.1,1.9,-0,0.9,1.7,1.9,2.4,3.5,-2.2,-0.4,1,1.3,2.1,3.5,0.3,1.3,2.2,2.2,2.3,3,-0.6,1.3,2.5,2.7,3.3,4.5,-1.1,-0.6,-0.2,-0.4,0,1.2,-0.2,1.2,1.9,2.1,2.4,3.3,-0.2,1,1.5,1.7,1.7,2.3,1.9,3.5,4.8,5.3,6.2,7.2,-0.1,-1.4,-2.2,-2.2,-2.1,-2,-0.6,-0,0.4,0.3,0.3,0.3,0.9,2,2.6,2.5,2.3,2.1,-0.3,-0.6,-0.6,-0.5,-0.3,-0.1,0.9,1.3,1.8,1.9,1.8,1.3,0.2,-0.8,-1.6,-1.7,-1.8,-1.9,-0.7,-1.4,-1.8,-1.9,-1.8,-1.7,0.7,0.6,0.4,0.2,0.2,0.1,-0.4,-0.5,-1,-1,-0.6,0.1,-0.9,-0.7,-0.3,-0.2,-0,0.3,-1.4,-2,-2.2,-2.1,-2,-1.8,0.5,1.3,2,1.9,2,2.1,0,0.2,0.1,0.5,1.1,2.1,-0.7
2015/10/26 00:00:00.000,,1.3,1.5,2.4,2.6,2.9,3.6,1.2,1.5,1.9,2.1,2.6,3.2,1.8,2.9,3.6,3.6,4.1,4.9,2.6,3.4,4.3,5,5.6,6.6,1.1,1.7,2.3,2.8,3.4,4.3,0.4,0.7,1,0.9,1.5,2.3,2.8,4.6,5.8,6.5,7.4,8.3,1.9,1.3,2.4,3.4,3.4,5,0.5,0.4,1.1,1.9,2.5,3.5,-0.1,0.1,0.8,1,1.3,2,1.7,2.3,2.6,3.1,4.3,5.5,0.8,1.5,2.7,3.6,4.2,4.5,1.3,1.6,2,2.7,3.8,4.8,0.6,0.7,0.9,1.2,1.7,1.8,1.3,1.3,1.6,2.1,2.6,2.9,-0.5,-0.3,-0.1,-1.1,-0.7,0.4,-0.4,-0.3,-0.3,-0.4,0.2,1,0.8,1,1.3,1.7,2.2,2.8,1.1,1.5,2.1,2.5,3.1,4,0.8,2.2,3.4,3.9,4.9,5.9,1.6,2.2,2.8,2.7,3,3.5,1.9,3.1,3.9,4.2,4.9,5.9,0.7,1,1.2,1,1.8,2.7,1.7,2.6,3,3.1,3.6,4.3,1.6,2.1,2.4,2.5,2.7,3.2,1.5,2.9,3.8,4.5,5.5,6.1,-0.9,-1.7,-2.3,-2.2,-2.1,-2,0.3,0.7,1,0.9,0.9,0.9,1.2,2.1,2.4,2.2,1.9,1.8,-0.2,-0.4,-0.3,-0.2,0.1,0.3,0.2,0.8,1.2,1.2,0.9,0.5,-0.8,-1.4,-2,-2.1,-2.2,-2.3,-0.6,-1,-1.3,-1.3,-1.2,-1.1,0.3,0.3,0.1,-0.1,-0.2,-0.2,0.5,0.2,-0.2,-0.1,0.4,0.9,0.1,0.3,0.6,0.8,1,1.2,-1,-1.3,-1.4,-1.2,-1,-0.9,1.1,1.7,2.1,2,2,2.1,0.5,0.3,0.3,0.9,1.6,2.4,-0.2
2015/10/23 00:00:00.000,,1.7,2.3,2.4,2.6,3.6,4.2,1.8,2.2,2.2,2.5,3.4,3.8,2.7,3.3,3.2,3.3,4.5,4.6,3.8,4.6,4.9,5.4,6.8,7,2.1,2.7,2.8,3.3,4.7,5.2,1.4,1.6,1.4,1.5,2.9,3.4,5.2,6.4,6.6,7.1,8.7,9.2,1.1,1.9,3.1,3.1,4.8,5.6,0.8,1.3,1.8,2.5,3.9,4.7,0.6,1.3,1.5,1.6,2.6,3,1.5,2.2,2.1,2.8,4.9,5.4,1.3,2.5,3.3,3.8,4.5,4.6,1.4,1.8,2,2.7,4.5,4.9,0.3,0.6,0.7,1.1,1.5,2,0.6,0.9,1.1,1.5,2.2,2.8,0.6,0.8,-0.1,-0.3,1.3,1.8,1.1,1,0.7,1,2.3,2.6,1,1.4,1.5,1.8,2.9,3.3,2,2.5,2.7,3,4.4,4.8,2.4,3.7,4,4.5,6.3,7.1,2.3,3,2.9,2.7,3.5,3.8,4.3,5,5,5.2,6.8,7.4,1.4,1.6,1.4,1.4,3,3.8,2.8,3.3,3.1,3.2,4.3,4.7,2.6,2.8,2.7,2.6,3.4,3.7,2.2,3.2,3.7,4.2,5.6,5.7,-2.5,-3,-3,-2.8,-2.6,-2.5,1.2,1.5,1.4,1.3,1.3,1.3,1.9,2.4,2.2,1.9,1.5,1.3,-0.8,-0.7,-0.6,-0.4,0,0.1,1,1.5,1.5,1.4,0.8,0.5,-1.7,-2.3,-2.4,-2.5,-2.6,-2.5,-1.3,-1.5,-1.6,-1.5,-1.3,-1.2,-0.6,-0.7,-0.9,-1,-1.1,-1.1,-0.4,-0.8,-1,-0.6,0.3,0.6,0.4,0.8,0.9,1,1.4,1.4,-0.7,-0.8,-0.8,-0.5,-0.2,-0.1,1.1,1.6,1.6,1.5,1.5,1.4,-0.3,-0.4,-0.1,0.5,1.9,2.5,0.4
2015/10/22 00:00:00.000,,0.5,1.3,1.3,1.7,2.5,3,0.2,0.6,0.6,1.1,1.8,2.2,0.8,1.3,1.1,1.5,2.5,2.6,1.5,2.2,2.5,3,4.2,4.5,1.6,2,2.2,2.8,4,4.6,0.4,0.5,0.4,0.7,1.9,2.6,3,3.9,4.1,4.8,6,6.6,-0.3,0.9,2,2,3.7,4.6,-0.8,0.1,0.6,1.6,2.7,3.6,-0.1,0.7,0.8,1,1.9,2.5,-0.1,0.6,0.8,1.9,3.6,4.1,0.7,2.2,3,3.4,3.9,3.9,0.5,0.8,1.2,2.3,3.7,4.1,-0.7,-0.3,-0.1,0.4,0.7,1.3,-0.3,0.1,0.4,1,1.5,2.2,1.2,1.3,0.1,0.2,1.7,2.4,0.8,0.5,0.2,0.8,1.9,2.2,0.2,0.6,0.8,1.3,2.2,2.5,1.2,1.6,1.8,2.3,3.5,3.9,2.9,4,4.2,4.9,6.4,7.4,0.8,1.4,1.2,1.3,1.9,2.2,2.4,2.7,2.7,3.2,4.5,5.2,0.3,0.4,0.1,0.7,2,2.9,1.8,1.9,1.8,2.1,3,3.5,1.6,1.5,1.5,1.5,2.1,2.5,2.6,3.4,3.8,4.6,5.6,5.6,-1.9,-2.2,-2.1,-1.8,-1.6,-1.4,0.8,1,0.8,0.7,0.7,0.7,1.7,1.9,1.5,1.2,0.9,0.7,-0.3,-0.1,0,0.3,0.6,0.7,0.5,1,0.9,0.7,0.2,-0.2,-1.6,-2.1,-2.1,-2.1,-2.2,-2,-1.2,-1.3,-1.2,-1.1,-0.9,-0.8,-0.3,-0.4,-0.6,-0.6,-0.7,-0.7,-0.4,-1,-0.9,-0.4,0.3,0.7,0.4,0.8,0.8,1,1.3,1.3,-0.9,-0.9,-0.7,-0.5,-0.2,-0,1.4,1.7,1.5,1.5,1.5,1.3,0.4,0.3,0.7,1.5,2.6,3.4,1.5
2015/10/21 00:00:00.000,,-0.6,0.6,0.7,1,1.8,2.4,-0.1,0.3,0.5,1,1.6,2.1,1.9,2.3,2,2.5,3.3,3.5,-0.7,0.2,0.7,1.3,2.3,2.5,-0.3,0.2,0.6,1.3,2.2,2.8,-0.2,0.1,-0,0.6,1.5,2.4,1,1.6,1.9,2.8,3.6,4.2,-2.4,-0.6,0.6,0.6,2.4,3.4,-0.2,0.7,1.6,2.2,3.3,4.3,-0,0.8,1,1.3,2,2.7,1,1.2,1.6,3,4.3,4.9,1.2,2.4,3.3,3.8,4,4,0,0.4,1.2,2.5,3.5,3.9,0.5,0.8,1.1,1.7,1.8,2.5,-0.2,0.2,0.7,1.3,1.6,2.4,-0.5,-0.3,-1.6,-1.1,0.2,0.8,-0.8,-0.9,-1,-0.2,0.6,0.9,-0.2,0.2,0.5,1.1,1.8,2.2,-0.7,-0,0.3,0.9,1.9,2.3,1.2,2.2,2.4,3.4,4.5,5.6,-0.2,0.4,0.1,0.4,0.9,1.1,0,0.5,0.5,1.3,2.2,2.9,-0,0.2,-0.2,0.7,1.8,2.8,0,0,-0,0.5,1.2,1.6,-1,-0.7,-0.8,-0.6,-0.1,0.2,1.6,2.1,2.5,3.5,4.1,4,-0,-0.3,-0,0.3,0.4,0.6,0.3,0.4,0.2,0.1,0.1,0,0.4,0.4,-0.1,-0.4,-0.6,-0.9,-0.2,0,0.3,0.6,0.8,0.8,1.2,1.3,1.1,0.8,0.3,-0,0.2,-0.3,-0.3,-0.3,-0.4,-0.2,0.3,0.1,0.2,0.4,0.6,0.7,0.4,0.1,-0,-0.1,-0.2,-0.2,-0.7,-1.1,-0.8,-0.2,0.4,0.8,0.1,0.4,0.5,0.8,1,0.9,-0.1,-0,0.2,0.5,0.7,0.9,0.3,0.5,0.3,0.2,0.3,-0,-0.9,-0.7,0.1,0.9,1.8,2.8,1.7
2015/10/20 00:00:00.000,,-0.5,0.6,0.7,1.2,2,2.4,-0.4,0.1,0.4,1,1.6,1.9,0.2,0.4,0.2,0.9,1.5,1.6,-0,0.9,1.5,2.3,3.1,3.2,0.1,0.6,1.1,2,2.8,3.3,-0.2,0,-0,0.9,1.7,2.4,0.4,0.8,1.3,2.3,3,3.4,1.6,3,4.2,5.1,6.6,7.1,-0.1,0.8,2,3,3.9,4.5,0.4,1.1,1.2,1.7,2.3,2.9,1.2,1,1.7,3.2,4.4,4.7,1.5,2.4,3.3,3.8,3.8,3.8,-0.1,0.2,1.5,2.8,3.6,3.9,0.4,0.8,1.3,1.8,2,2.4,0.5,0.8,1.6,2.3,2.6,3.1,-0.4,-0.2,-1.6,-0.7,0.6,1,0.2,0.1,0.2,1.1,1.8,2,0.7,0.8,1.3,2,2.6,2.8,0,0.6,1.1,1.9,2.8,3.1,0.3,1.2,1.6,2.7,3.7,4.5,0.4,0.7,0.3,0.8,1.2,1.4,-0.4,0.1,0.1,1.2,2,2.6,-0.2,0.1,-0.1,1,2,2.9,0.9,0.7,0.6,1.3,2,2.2,-0.5,-0.2,-0.4,0,0.5,0.8,0.7,1.4,2,3.1,3.4,3.2,-0.1,-0.3,0.1,0.4,0.5,0.7,0.5,0.4,0.1,0.1,0,-0,0.3,0.1,-0.5,-0.8,-1,-1.2,-0.1,0.2,0.6,0.9,1.1,1,0.4,0.2,-0.1,-0.5,-1,-1.2,0,-0.6,-0.5,-0.5,-0.6,-0.3,0.4,0.1,0.3,0.5,0.6,0.7,0.2,-0.2,-0.4,-0.4,-0.5,-0.5,-0.3,-0.4,0.1,0.8,1.3,1.6,0.4,0.6,0.7,1,1.1,1,0.2,0.3,0.6,0.9,1.1,1.2,0.1,0.3,0.1,0.1,0,-0.2,-1,-0.3,0.9,1.8,2.6,3.4,1
2015/10/19 00:00:00.000,,1.2,1.7,1.8,2.8,3.3,3.5,0.7,0.7,1.1,2.1,2.4,2.7,0.2,-0.3,-0.3,1,1.3,1.3,1.4,1.8,2.3,3.5,4,4,0.8,0.8,1.3,2.6,3.2,3.5,0.4,-0,0.1,1.5,2.2,2.7,1.4,1.1,1.6,3,3.6,3.8,1.7,2.9,3.5,5.1,6,6.3,1.2,1.7,2.7,4.3,4.9,5.2,1.3,1.5,1.6,2.3,2.9,3.3,1.2,0.5,1.6,3.6,4.3,4.6,1,1.9,2.5,3,2.9,2.9,0.5,0.6,1.8,3.6,4.1,4.3,0.3,0.4,0.9,1.4,1.8,2.1,0.6,0.7,1.5,2.2,2.8,3,0.9,-0.2,-1,0.7,1.7,1.9,-0.6,-0.8,-0.5,0.9,1.4,1.4,0.8,0.6,1.1,2.1,2.6,2.6,0.8,0.9,1.4,2.6,3.2,3.4,0.7,1.1,1.5,3,4,4.5,1.1,0.9,0.5,1.3,1.6,1.6,0.9,0.7,0.9,2.4,3.2,3.4,0.2,0,0,1.7,2.7,3.2,0.5,-0.2,-0.1,1,1.6,1.6,0.7,0.5,0.3,1,1.5,1.5,-0.1,0.4,0.9,2.3,2.4,2.1,-0.7,-0.6,-0.1,0.3,0.4,0.5,0.4,-0,-0.2,-0.3,-0.3,-0.4,0.5,0.1,-0.6,-0.9,-1.1,-1.2,-0.1,0.5,0.8,1.2,1.3,1.2,1,0.6,0.3,-0.4,-0.8,-1,-0.7,-1.1,-0.9,-0.9,-0.9,-0.7,-0.4,-0.6,-0.3,0,0.1,0.2,-0.2,-0.5,-0.6,-0.7,-0.8,-0.7,-0.7,-0.8,-0.1,0.9,1.3,1.5,0.3,0.5,0.6,0.9,1,0.8,-0.2,-0.1,0.3,0.7,0.9,0.9,0.5,0.5,0.2,0.2,0.1,-0.1,-0.5,0.5,1.5,2.8,3.5,4.2,-0.1
